s,t
414,990
14,582
638,970
421,577
237,831
599,868
226,564
258,900
95,505
84,735
493,924
608,867
3,735
172,663
30,919
462,925
103,348
212,784
312,923
353,559
290,975
334,709
519,797
264,562
173,710
144,248
519,977
291,618
20,425
466,641
164,765
338,895
109,515
169,944
461,770
99,740
185,884
347,760
209,617
201,511
536,801
679,866
82,739
560,720
517,773
28,566
113,707
513,788
124,637
245,696
224,596
302,946
425,957
82,449
359,664
170,588
185,673
135,801
456,736
497,819
384,741
167,957
29,736
189,805
453,870
200,955
668,952
67,695
717,990
263,819
530,809
444,988
643,955
442,964
510,871
300,683
41,266
117,580
6,493
201,786
404,768
518,660
549,852
255,855
84,406
216,571
169,627
166,633
324,507
294,718
29,562
59,369
137,489
173,773
739,849
319,849
186,840
234,945
34,529
362,821
394,933
586,886
265,888
39,748
126,684
224,529
89,712
165,866
459,879
269,843
23,490
214,776
395,792
144,676
105,808
268,614
159,427
453,930
163,741
63,859
245,704
149,618
257,538
425,930
12,785
141,844
150,562
289,726
135,674
121,391
211,858
195,924
459,806
123,870
246,1001
460,807
480,966
134,491
154,400
185,754
356,631
324,900
259,585
96,478
319,728
107,606
283,515
428,963
142,471
553,970
437,923
24,604
290,545
398,888
144,780
127,568
432,944
499,858
212,852
251,627
215,647
363,727
526,729
356,880
52,447
462,833
363,913
621,904
238,561
208,593
158,719
84,931
222,661
40,770
328,980
122,640
231,551
425,940
474,896
79,610
62,698
365,823
226,495
393,709
758,928
23,445
182,886
332,853
152,519
187,558
86,305
221,738
230,977
52,391
378,823
302,724
60,792
330,821
476,967
427,849
527,877
41,219
102,566
68,515
384,651
79,750
369,883
67,818
250,745
152,374
443,918
205,994
54,564
488,925
60,579
255,640
334,393
365,611
19,305
400,638
105,763
359,544
306,869
410,840
91,711
109,315
342,580
639,898
179,475
163,532
521,749
376,980
276,954
458,588
624,961
397,802
702,924
125,275
71,524
349,873
681,871
402,801
294,876
54,262
259,655
345,850
78,895
35,461
642,919
10,354
215,976
69,761
474,961
722,955
39,797
177,902
543,753
53,485
361,549
321,486
186,887
12,801
240,857
510,968
590,769
440,678
435,799
698,818
57,543
260,844
95,387
35,648
283,741
145,785
279,926
102,802
55,577
42,278
437,725
19,630
101,449
214,577
53,498
63,763
134,798
112,796
681,941
123,689
290,479
308,415
409,797
570,849
365,555
217,665
486,905
441,851
628,982
303,952
538,814
141,706
333,976
101,607
148,735
196,712
49,705
336,521
301,742
2,406
449,967
262,458
302,903
356,958
329,861
209,721
498,839
88,950
289,467
9,599
497,807
441,926
208,579
197,361
282,455
372,547
224,865
433,840
395,913
327,904
482,997
419,983
444,596
493,996
362,646
25,794
146,615
68,685
193,324
386,969
39,600
413,650
15,801
1,502
387,984
1,185
323,900
344,797
107,553
589,935
71,688
191,712
286,962
376,856
268,524
227,983
369,890
16,136
612,757
261,560
258,528
499,577
314,956
155,793
169,666
52,577
353,556
541,857
252,959
342,911
619,988
172,547
195,703
52,488
254,474
904,967
266,952
165,933
173,815
320,678
55,396
174,627
448,892
608,989
345,818
260,577
150,956
286,633
208,513
554,877
322,618
479,783
188,591
350,969
493,835
309,406
304,934
164,709
266,787
177,648
35,523
489,932
242,861
121,501
479,930
168,526
108,580
426,877
603,932
78,764
20,542
203,418
496,842
299,535
56,471
433,754
243,468
390,945
524,959
172,739
102,445
201,287
270,748
530,752
511,947
254,916
29,610
358,775
607,935
533,650
47,798
313,701
236,385
52,368
101,724
208,532
305,934
314,590
227,499
251,577
206,831
258,728
472,643
28,465
167,605
96,836
652,874
13,314
53,687
380,834
68,160
51,612
30,464
568,869
103,809
323,679
329,750
63,439
144,886
186,921
288,898
563,840
136,361
353,924
39,345
52,464
63,506
3,623
65,579
101,760
135,708
132,694
457,990
298,422
55,799
12,648
236,592
282,682
233,506
63,952
209,977
220,735
287,710
333,946
101,604
240,622
54,300
462,871
174,570
291,610
30,312
18,607
407,746
557,867
173,860
59,615
492,895
319,827
40,842
266,732
26,256
134,965
563,950
274,897
506,761
585,805
442,883
49,633
119,903
42,528
231,617
80,528
110,521
80,683
230,559
108,747
204,374
487,975
114,280
771,957
124,786
343,787
138,602
525,804
143,617
51,606
603,980
248,416
11,526
474,637
489,775
6,750
476,784
67,425
137,353
42,728
165,785
472,699
839,971
103,579
276,673
105,648
341,913
158,718
192,658
77,577
271,881
66,430
403,906
371,713
25,413
307,704
282,676
296,376
304,872
543,954
222,361
474,710
185,945
296,991
768,849
54,342
270,577
577,982
164,422
854,997
57,723
431,678
562,714
480,862
628,978
71,443
142,498
305,996
223,653
237,574
18,361
178,508
276,926
160,445
222,642
459,577
185,693
145,580
142,719
89,569
167,983
679,863
487,765
109,660
255,669
286,615
213,769
665,947
470,891
428,887
59,630
402,795
155,700
131,850
174,792
59,735
484,842
200,578
541,876
42,427
69,550
190,996
182,758
676,994
593,789
137,461
368,876
374,541
874,984
282,886
476,717
454,752
20,475
299,807
299,732
780,852
102,333
536,942
328,514
807,979
166,683
276,773
152,613
651,930
136,914
556,866
648,870
137,386
477,763
196,490
205,809
25,574
348,971
486,694
276,711
359,919
83,484
169,646
377,803
475,692
12,778
335,699
228,481
679,871
427,927
38,315
136,538
298,643
594,881
492,613
647,969
378,703
260,473
266,416
575,824
245,666
282,876
126,262
242,803
239,529
112,485
339,698
112,665
186,655
52,442
285,911
88,753
173,672
340,956
504,690
388,814
376,688
418,843
568,861
410,948
793,979
247,624
206,763
398,833
258,605
176,515
143,805
235,753
734,982
430,912
327,960
230,891
200,531
45,423
475,778
231,586
310,688
422,884
426,770
279,922
552,855
131,954
523,881
247,610
135,298
600,834
50,779
642,937
188,491
126,781
449,752
337,942
363,606
269,661
19,244
159,541
85,521
106,788
126,828
130,627
505,821
154,573
285,779
148,879
225,999
8,588
246,642
268,709
87,710
119,358
261,372
773,946
337,585
576,980
494,887
195,526
462,567
226,736
451,999
38,478
337,909
209,745
11,683
652,807
322,960
57,848
85,810
446,914
80,598
292,891
632,944
29,559
642,970
301,890
165,711
131,924
418,688
58,287
146,410
78,666
465,855
514,922
374,953
177,358
199,714
51,406
757,917
138,394
411,883
288,608
768,994
266,969
381,880
581,957
6,442
210,866
562,831
550,846
210,952
210,762
205,576
570,954
335,532
640,928
187,568
419,747
261,447
237,395
408,857
389,763
94,663
262,758
188,967
492,881
623,830
20,684
163,442
75,410
733,924
299,611
380,731
80,407
399,840
459,856
296,648
356,989
272,950
244,713
366,998
282,891
478,767
178,700
31,522
568,912
452,927
334,844
191,902
236,772
442,706
4,415
141,812
278,750
192,848
360,774
247,891
81,583
819,995
387,640
118,972
628,994
178,371
253,411
564,908
86,805
448,741
267,528
264,866
199,606
43,574
260,605
151,556
235,759
494,930
195,649
338,737
356,725
629,994
419,957
26,469
190,766
373,944
161,426
121,448
55,322
477,876
511,688
236,690
240,780
87,391
447,733
117,680
354,715
405,878
449,876
547,955
8,614
219,829
699,763
593,993
354,918
127,613
133,240
484,910
45,816
129,678
157,837
4,503
68,584
55,476
377,610
8,596
312,700
534,725
386,867
475,908
31,540
94,815
308,648
758,998
104,510
242,531
13,308
457,945
117,686
675,837
356,780
203,901
335,587
70,338
548,763
173,325
17,895
201,826
129,766
516,875
303,909
499,873
237,479
50,548
547,881
20,611
135,374
339,888
596,965
325,569
337,978
646,960
66,868
310,934
232,991
177,692
51,462
214,709
412,596
114,825
70,527
142,825
56,512
154,298
36,649
166,453
278,828
62,612
36,479
104,572
464,722
590,871
348,965
286,555
751,888
697,951
688,861
73,874
53,649
340,712
211,688
617,835
142,516
182,342
294,747
198,751
189,718
168,583
306,952
283,536
200,666
506,982
361,971
299,841
454,710
517,787
41,202
220,644
403,859
462,736
253,991
191,370
387,824
366,621
248,446
699,966
77,716
366,832
442,682
112,848
125,642
188,792
47,914
433,993
200,625
41,417
89,659
126,904
711,951
492,924
204,673
164,858
69,627
543,836
595,987
237,816
243,801
120,573
331,706
471,992
366,908
393,666
91,618
85,729
72,492
402,890
228,785
593,809
253,635
354,726
416,1000
233,891
244,658
140,430
102,338
230,502
171,874
554,864
178,811
277,724
202,748
821,985
190,467
30,680
92,603
123,524
78,311
477,934
340,785
403,688
493,876
445,896
203,729
290,750
105,404
193,615
48,360
602,908
12,560
482,966
239,786
657,830
371,515
449,756
317,887
639,867
236,908
262,633
359,589
31,200
375,541
452,981
315,682
260,941
3,473
136,721
38,406
235,780
294,540
145,455
286,927
32,220
770,858
560,839
211,873
284,646
378,934
435,723
287,520
455,796
462,761
273,648
603,703
582,849
410,940
454,688
205,878
471,968
25,818
85,962
280,982
374,625
305,522
755,848
17,926
449,937
385,872
311,696
325,849
46,583
41,521
220,659
406,842
317,746
448,882
648,941
221,643
425,755
119,672
447,804
280,579
262,737
276,746
489,914
182,379
441,929
388,613
123,798
454,904
154,374
279,756
518,961
443,950
357,953
519,678
22,849
178,873
360,653
483,904
72,209
232,874
323,848
31,489
2,475
372,627
514,945
141,712
462,904
322,924
279,630
42,612
247,437
194,620
62,817
284,703
350,726
435,768
146,659
633,800
292,697
713,835
163,605
151,751
300,844
883,997
178,633
24,620
369,877
666,861
318,545
276,836
288,951
39,689
544,937
195,640
248,616
117,629
190,450
588,763
218,638
186,753
668,900
48,326
607,905
471,745
41,477
536,925
177,762
224,696
276,962
78,532
411,977
453,775
174,433
712,939
10,568
413,788
159,469
52,752
315,869
202,900
460,653
653,973
38,433
85,581
189,530
262,707
770,935
223,322
174,670
328,732
203,650
364,778
446,856
153,630
43,813
159,972
523,749
72,497
421,819
539,681
9,459
36,405
153,897
227,617
160,284
301,812
255,909
63,551
349,476
423,728
369,712
125,450
170,806
181,733
206,703
338,682
60,657
322,875
146,495
241,903
282,784
345,808
54,664
27,459
601,943
414,978
48,288
167,858
753,909
533,965
246,567
202,745
309,559
61,378
512,1000
14,90
602,783
432,855
475,823
37,773
290,844
229,431
676,924
77,478
178,563
29,561
38,365
432,840
63,459
159,254
580,994
96,339
17,676
257,506
213,772
493,839
262,857
351,765
9,569
2,658
489,985
656,960
782,955
40,650
18,754
24,465
243,707
162,692
292,933
226,649
231,990
644,993
121,568
626,889
47,625
363,824
696,958
627,740
592,842
19,359
132,502
555,850
514,974
320,557
440,930
152,334
273,341
559,835
96,384
229,529
24,566
470,753
714,900
161,863
533,758
193,697
195,703
88,629
429,618
503,799
418,864
439,836
185,931
326,633
179,751
248,664
471,886
280,564
175,687
133,365
738,893
230,727
788,929
229,963
331,953
389,746
643,943
163,948
95,564
219,406
25,368
89,602
428,882
531,874
225,671
260,707
257,770
223,845
586,990
472,980
14,654
528,875
364,613
629,857
4,594
425,797
364,902
179,604
262,734
457,887
457,756
1,746
333,957
43,498
182,575
196,740
209,775
14,594
6,744
539,766
435,904
18,724
153,714
26,324
357,634
284,577
628,975
236,999
156,810
475,799
645,990
386,984
17,349
534,827
515,907
249,640
477,784
415,890
629,846
571,974
137,650
291,714
219,656
205,743
70,801
538,921
150,978
29,770
535,997
142,608
116,618
125,852
155,712
280,888
414,874
8,746
497,762
342,751
171,698
71,661
12,421
427,623
154,586
172,787
442,962
11,245
498,709
146,497
161,962
705,938
122,444
443,870
127,633
156,712
538,991
435,950
172,785
260,915
495,799
339,691
189,826
166,935
212,668
300,936
220,614
203,978
311,818
75,326
544,870
637,803
269,635
102,844
51,371
212,737
10,271
387,835
85,359
228,820
102,878
360,612
27,467
312,631
102,449
436,975
417,947
227,921
474,866
217,894
270,898
521,664
189,639
145,384
263,707
178,672
68,408
444,976
47,413
104,986
777,958
722,817
181,637
495,747
245,633
163,574
225,793
180,702
518,985
184,851
599,790
519,964
26,395
571,988
108,366
726,933
489,783
142,613
41,629
116,662
279,800
366,960
141,823
178,536
194,717
42,770
181,773
63,820
280,810
76,176
217,643
606,918
162,881
227,800
217,508
108,477
592,947
107,788
125,997
60,345
371,884
313,676
238,972
779,952
203,597
8,550
331,605
104,765
471,985
621,902
358,615
374,570
119,892
293,727
186,771
516,715
4,798
356,916
476,942
109,544
362,653
224,621
130,486
536,839
322,625
439,936
574,881
16,419
140,314
55,537
362,907
22,317
154,694
167,345
16,727
8,438
588,980
356,636
41,477
281,615
112,468
123,668
7,451
224,918
231,637
259,465
675,961
276,983
39,818
322,818
63,685
338,850
181,575
239,911
42,829
452,664
205,458
202,473
67,803
175,408
140,607
335,632
158,585
180,883
341,800
482,973
279,996
663,809
65,620
316,645
8,532
378,734
153,285
490,911
122,537
94,963
766,966
107,538
183,649
278,992
19,727
734,932
223,571
165,706
88,688
416,742
133,803
92,756
568,741
319,576
438,972
46,524
270,993
691,964
167,709
322,503
629,771
675,968
422,565
144,578
243,664
144,643
611,821
859,958
198,957
478,845
3,541
6,216
175,952
666,910
300,692
118,904
180,784
432,774
216,419
724,937
568,938
65,896
434,490
382,726
220,945
96,374
304,674
84,815
619,967
564,751
106,481
208,472
4,495
168,698
421,942
183,869
241,899
191,553
536,827
513,903
184,694
268,847
221,555
577,729
202,888
59,472
93,582
412,809
539,913
191,931
685,981
514,668
819,983
7,473
385,756
104,492
276,843
475,920
161,881
301,863
397,608
265,770
545,826
74,440
584,961
129,530
94,697
201,495
449,932
166,706
59,314
621,840
691,1000
120,508
455,965
263,827
12,502
280,639
439,866
821,994
408,929
628,942
216,885
99,589
55,873
674,982
169,640
437,884
488,993
396,967
18,515
203,986
305,733
380,979
385,479
336,728
269,900
177,545
188,617
459,995
771,992
361,938
397,801
570,943
423,849
578,738
391,752
11,165
521,946
365,927
214,459
88,242
325,901
20,609
250,946
516,932
552,839
217,287
413,956
201,708
365,939
44,811
181,608
363,686
280,859
55,686
405,612
405,823
183,775
4,403
228,628
467,974
699,849
123,668
654,930
464,734
65,501
89,761
149,706
289,679
1,562
144,457
298,634
427,845
296,851
68,554
106,793
712,867
292,430
320,649
220,884
94,744
458,934
273,550
14,775
70,657
560,774
482,764
13,634
209,729
215,607
214,694
274,535
328,749
457,948
237,738
207,734
96,517
278,582
610,774
325,753
436,720
177,759
223,441
154,565
295,883
106,441
326,853
187,452
273,952
200,970
81,673
138,785
388,792
184,671
150,715
122,562
88,662
224,469
127,561
75,551
386,524
294,690
41,877
667,871
443,908
385,740
159,680
14,719
307,829
533,981
440,981
458,785
307,857
504,792
21,327
233,381
120,586
95,588
42,569
460,818
72,752
240,839
259,798
118,675
31,442
146,841
6,682
131,746
228,651
31,863
59,616
313,899
498,904
499,995
277,681
299,906
137,975
158,899
421,781
273,925
839,935
126,583
222,788
264,614
272,898
210,639
297,886
254,751
93,604
111,594
272,897
244,685
163,440
212,765
462,818
316,916
37,538
624,967
359,894
626,802
152,674
107,784
231,498
299,961
651,876
129,928
728,918
226,467
300,735
628,963
377,787
231,699
323,837
134,520
471,892
129,585
18,293
278,770
506,892
162,290
221,546
70,643
320,561
146,544
10,482
248,740
71,613
208,516
272,645
120,535
15,445
375,706
130,479
251,656
186,623
94,831
117,826
43,654
454,670
8,372
348,734
453,785
82,421
54,501
769,964
645,850
296,618
730,950
130,626
702,925
408,968
355,988
33,609
71,341
50,637
389,887
426,919
406,803
421,729
42,599
363,688
219,848
4,588
392,836
561,878
546,784
193,441
334,658
697,979
404,806
426,823
415,850
218,909
189,630
571,972
322,812
98,530
39,540
392,797
290,981
537,946
153,383
228,684
452,899
199,623
45,551
406,557
69,872
170,455
606,927
412,774
352,588
511,763
203,665
513,905
245,530
107,764
190,688
272,673
391,778
303,921
462,847
480,811
59,548
96,470
443,825
45,394
185,865
215,564
431,833
222,528
95,592
195,610
75,631
86,229
198,776
217,778
584,783
20,745
607,916
435,704
134,635
133,829
445,799
542,830
217,774
508,725
173,348
405,697
11,501
175,957
631,916
458,733
156,464
84,420
615,915
90,613
89,258
140,554
533,979
788,908
229,770
71,872
666,959
10,743
197,809
46,466
521,854
165,335
17,154
90,494
238,531
115,378
387,998
550,881
30,537
349,571
644,961
235,798
504,729
498,901
684,931
41,524
3,443
209,899
21,604
128,552
150,686
247,958
261,726
137,459
529,772
105,695
145,921
99,844
334,629
2,395
109,918
104,445
513,919
181,857
432,967
104,316
114,762
363,740
341,605
409,701
319,941
371,749
251,967
163,937
239,766
683,939
648,980
118,684
181,806
512,845
449,695
468,795
96,332
126,764
100,246
490,612
157,904
380,689
492,975
863,970
328,975
262,915
192,478
35,871
151,456
300,710
821,929
223,690
514,740
240,508
281,852
160,618
390,897
533,953
262,604
394,925
608,911
469,544
261,989
298,836
223,798
500,901
278,528
42,696
14,630
12,672
513,930
19,541
173,605
417,759
321,923
374,1000
254,854
31,357
47,366
242,539
195,826
145,643
28,432
415,836
48,616
14,507
277,973
534,869
348,758
95,796
143,981
199,381
363,955
181,294
328,868
234,870
119,508
31,411
406,771
220,875
135,603
286,607
633,762
135,720
404,912
197,689
71,678
96,965
263,980
413,669
701,900
7,663
75,767
290,539
364,705
188,387
655,876
92,722
275,889
561,922
141,872
689,958
55,156
67,431
682,803
26,573
142,698
12,780
411,682
34,728
65,344
360,528
513,892
18,725
165,893
281,551
147,779
345,577
563,773
336,809
479,960
297,724
164,677
442,809
188,643
95,387
131,618
16,314
720,939
315,619
19,570
73,777
43,369
145,667
217,707
497,991
529,650
122,272
298,937
120,569
425,771
463,811
159,849
153,472
200,942
458,755
397,625
8,711
391,791
135,677
94,838
567,838
130,460
22,282
432,868
501,953
804,958
324,780
160,754
448,836
719,987
837,970
584,769
339,645
153,447
515,877
73,883
753,966
33,516
117,349
646,969
478,613
188,773
261,786
791,934
194,759
290,458
604,902
265,759
223,714
121,593
303,535
600,924
163,616
247,632
656,934
634,796
142,605
59,643
354,787
544,936
325,788
227,649
45,438
62,571
473,965
684,929
499,828
493,750
48,312
329,752
579,823
382,915
255,682
16,623
586,907
724,917
148,911
90,754
192,401
90,422
560,748
224,704
620,943
33,611
56,252
170,738
195,764
85,710
345,674
285,668
537,916
309,829
216,964
271,708
282,648
822,987
221,604
408,900
456,880
672,779
182,747
289,684
147,445
142,333
135,381
167,464
269,865
91,538
227,856
359,995
439,997
109,720
91,536
556,766
123,525
544,712
205,451
23,543
715,986
394,835
202,526
93,540
342,936
685,933
138,838
486,830
159,965
85,796
157,601
459,901
136,498
248,398
115,590
205,776
79,600
359,540
154,911
115,412
452,977
819,973
143,536
297,653
556,749
140,701
262,860
378,696
195,639
77,814
236,910
333,969
92,858
172,615
216,913
258,413
104,482
48,332
96,777
149,682
548,963
149,944
880,981
5,475
45,630
33,764
35,671
48,443
395,863
198,904
415,640
176,784
526,947
203,336
442,571
213,601
697,988
396,659
201,504
208,787
388,800
65,562
41,460
25,244
220,458
301,670
26,270
228,480
71,860
153,678
151,650
67,281
264,437
15,531
211,666
318,522
102,793
273,610
392,547
285,774
137,918
143,842
327,775
17,603
333,646
335,900
18,529
220,810
65,293
330,932
82,811
633,950
341,708
775,954
196,565
88,643
574,968
52,298
141,882
184,401
374,682
204,550
168,787
133,664
87,898
159,755
481,943
453,808
734,888
519,910
121,596
188,795
301,724
190,648
524,800
286,986
601,914
523,983
77,523
226,618
21,338
262,850
140,569
662,982
368,923
133,657
346,676
292,566
132,887
17,704
102,318
254,627
517,928
811,864
154,394
499,960
448,810
260,890
202,877
12,250
313,619
193,588
205,951
144,754
341,765
175,580
343,860
147,530
181,768
611,887
173,875
318,750
251,803
550,674
407,719
48,493
422,751
430,945
541,990
142,584
372,659
550,897
123,549
234,888
336,682
194,604
443,744
434,809
438,905
137,683
782,961
649,907
11,510
129,522
488,952
14,844
527,994
784,950
178,574
125,383
66,498
192,599
488,822
50,187
447,961
313,992
232,911
32,619
103,780
191,801
334,677
50,332
139,359
51,399
677,928
347,843
85,468
128,370
103,931
550,972
627,897
210,558
554,686
42,666
594,859
303,801
719,997
206,753
267,680
223,882
511,781
480,999
362,984
324,685
100,494
45,522
98,775
173,674
289,873
71,397
176,638
188,879
313,569
702,956
303,777
225,922
346,697
52,804
97,401
564,918
227,837
303,963
245,608
286,997
370,501
357,602
247,649
125,782
241,636
362,518
21,576
96,780
107,505
335,747
766,968
436,914
639,970
632,834
713,927
228,855
37,771
163,618
374,708
352,500
622,961
272,426
74,624
184,856
519,861
173,980
84,763
444,629
75,644
207,697
277,772
363,834
245,737
409,552
302,989
59,415
425,669
482,935
102,651
201,907
283,989
700,867
71,581
245,840
381,582
340,819
549,920
225,500
108,452
280,409
671,967
485,712
168,915
45,381
524,983
165,543
303,982
77,537
398,937
323,947
214,333
84,634
254,714
384,786
266,654
155,522
11,738
304,859
135,806
612,783
389,740
76,313
503,826
77,465
16,352
240,846
290,779
125,596
456,702
33,308
94,328
252,884
166,691
221,649
94,665
462,914
370,540
661,928
194,550
14,309
247,918
214,793
113,519
303,830
129,792
685,865
102,564
42,679
515,877
364,923
61,486
35,584
304,832
360,624
277,609
425,723
390,779
168,735
522,974
72,416
531,990
223,787
2,874
273,536
157,728
159,284
447,921
439,799
510,862
174,863
113,550
466,905
60,350
173,579
78,513
96,826
237,718
73,387
413,851
367,725
479,723
406,934
19,601
354,929
548,878
450,910
68,283
54,355
210,755
205,549
556,875
357,602
29,729
245,810
34,394
19,621
177,739
382,960
159,758
359,990
536,892
265,634
343,933
562,998
481,877
27,785
631,954
421,714
239,499
164,597
95,511
307,525
130,780
523,855
606,830
505,957
477,783
89,652
259,847
279,765
246,699
346,861
480,932
654,842
128,388
335,823
25,730
489,928
247,855
402,939
425,751
777,992
494,988
234,713
565,869
252,889
643,968
25,148
318,776
120,420
92,669
276,918
81,702
174,562
163,901
542,751
446,777
105,342
343,631
10,581
661,982
737,982
662,811
366,957
92,322
59,536
303,706
55,237
4,441
692,841
438,913
415,577
67,279
69,879
157,641
52,728
206,809
188,803
423,809
440,671
8,716
298,674
327,635
490,992
26,296
410,828
170,690
107,814
738,861
617,738
673,948
462,998
263,484
93,832
59,813
249,663
504,763
296,486
346,643
498,982
79,551
291,892
544,909
575,907
340,602
175,340
62,640
155,789
776,998
301,883
285,894
175,497
138,903
134,476
27,301
143,453
468,895
465,755
233,837
435,904
269,840
108,471
252,433
433,815
340,633
126,432
164,854
103,429
661,931
398,754
235,989
609,960
217,679
235,502
475,928
328,763
93,455
130,524
478,918
417,812
86,591
177,896
138,378
